Name,Date
Rosh Hashana 5785,2024-10-03
Rosh Hashana II,2024-10-04
Erev Yom Kippur,2024-10-11
Yom Kippur,2024-10-12
Erev Sukkot,2024-10-16
Sukkot I,2024-10-17
Sukkot II,2024-10-18
Sukkot VII (Hoshana Raba),2024-10-23
Simchat Torah,2024-10-25
Pesach VIII,2028-04-18
Erev Pesach,2019-04-19
Pesach VII,2025-04-19
Pesach I,2019-04-20
Pesach VIII,2025-04-20
Pesach II,2019-04-21
Erev Shavuot,2025-06-01
Shavuot I,2025-06-02
Shavuot II,2025-06-03
Erev Rosh Hashana,2025-09-22
Rosh Hashana 5786,2025-09-23
Rosh Hashana II,2025-09-24
Erev Yom Kippur,2025-10-01
Yom Kippur,2025-10-02
Erev Sukkot,2025-10-06
Sukkot I,2025-10-07
Sukkot II,2025-10-08
Sukkot VII (Hoshana Raba),2025-10-13
Simchat Torah,2025-10-15
Erev Pesach,2027-04-21
Pesach VII,2022-04-22
Erev Pesach,2024-04-22
Pesach I,2027-04-22
Pesach VIII,2022-04-23
Pesach I,2024-04-23
Erev Shavuot,2026-05-21
Shavuot I,2026-05-22
Shavuot II,2026-05-23
Erev Rosh Hashana,2026-09-11
Rosh Hashana 5787,2026-09-12
Rosh Hashana II,2026-09-13
Erev Yom Kippur,2026-09-20
Yom Kippur,2026-09-21
Erev Sukkot,2026-09-25
Sukkot I,2026-09-26
Sukkot II,2026-09-27
Sukkot VII (Hoshana Raba),2026-10-02
Simchat Torah,2026-10-04
Pesach II,2027-04-23
Pesach II,2024-04-24
Pesach VII,2019-04-26
Erev Shavuot,2027-06-10
Shavuot I,2027-06-11
Shavuot II,2027-06-12
Erev Rosh Hashana,2027-10-01
Rosh Hashana 5788,2027-10-02
Rosh Hashana II,2027-10-03
Erev Yom Kippur,2027-10-10
Yom Kippur,2027-10-11
Erev Sukkot,2027-10-15
Sukkot I,2027-10-16
Sukkot II,2027-10-17
Sukkot VII (Hoshana Raba),2027-10-22
Simchat Torah,2027-10-24
Pesach VIII,2019-04-27
Pesach VII,2027-04-28
Pesach VII,2024-04-29
Pesach VIII,2027-04-29
Pesach VIII,2024-04-30
Erev Shavuot,2028-05-30
Shavuot I,2028-05-31
Shavuot II,2028-06-01
Erev Rosh Hashana,2028-09-20
Rosh Hashana 5789,2028-09-21
Rosh Hashana II,2028-09-22
Erev Yom Kippur,2028-09-29
Yom Kippur,2028-09-30
Erev Sukkot,2028-10-04
Sukkot I,2028-10-05
Sukkot II,2028-10-06
Sukkot VII (Hoshana Raba),2028-10-11
Simchat Torah,2028-10-13
Yom HaAtzma'ut,2019-05-09
Yom HaAtzma'ut,2020-04-29
Yom HaAtzma'ut,2021-04-15
Yom HaAtzma'ut,2022-05-05
Yom HaAtzma'ut,2023-04-26
Yom HaAtzma'ut,2024-05-14
Yom HaAtzma'ut,2025-05-01
Yom HaAtzma'ut,2026-04-22
Yom HaAtzma'ut,2027-05-12
Yom HaAtzma'ut,2028-05-02
